overall_rank,name,position,projected_points,uncertainty,player_id,code,team_name,status,news,prior_season,prior_points,prior_minutes,expected_minutes_season,projected_points_next_6,reliability,fixture_difficulty_next6,replacement_points,value_over_replacement,projection_method,promoted_team,new_to_history,manual_review
112,Hugo Ekitiké,FWD,102.1080,28.5902,380,510663,Liverpool,i,Achilles injury - Unknown return date,2025-26,125.0000,1797.0000,1806.9000,12.8994,0.6988,2.8333,102.1080,0.0000,2025/26 empirical-Bayes rate and minutes,False,False,True
113,James Hill,DEF,101.6309,16.2609,60,463981,Bournemouth,a,,2025-26,110.0000,2102.0000,2074.2000,15.6726,1.0000,3.6667,115.0131,-13.3822,2025/26 empirical-Bayes rate and minutes,False,False,False
114,Benjamin Sesko,FWD,101.0745,28.3008,439,485711,Man Utd,d,Shin injury - 75% chance of playing,2025-26,111.0000,1630.0000,1673.3000,14.7145,0.7969,2.8333,102.1080,-1.0335,2025/26 empirical-Bayes rate and minutes,False,False,True
115,Alex Iwobi,MID,100.6694,16.1071,261,153133,Fulham,a,,2025-26,103.0000,2420.0000,2295.6000,15.7097,1.0000,3.3333,125.4383,-24.7689,2025/26 empirical-Bayes rate and minutes,False,False,False
116,Harvey Barnes,MID,100.0902,16.0144,453,201666,Newcastle,a,,2025-26,106.0000,1951.0000,1920.4000,15.8959,1.0000,2.8333,125.4383,-25.3481,2025/26 empirical-Bayes rate and minutes,False,False,False
117,Norberto Bercique Gomes Betuncal,FWD,99.9762,15.9962,248,486385,Everton,a,,2025-26,104.0000,1551.0000,1610.1000,15.8778,0.8617,2.8333,102.1080,-2.1317,2025/26 empirical-Bayes rate and minutes,False,False,False
118,Martin Dubravka,GK,99.3375,15.8940,497,67089,Spurs,a,,2025-26,96.0000,3150.0000,3091.5000,15.6849,1.0000,3.0000,119.5420,-20.2045,2025/26 empirical-Bayes rate and minutes,False,False,False
119,John McGinn,MID,99.1909,15.8706,45,122806,Aston Villa,a,,2025-26,103.0000,2136.0000,2068.4000,15.6617,1.0000,3.0000,125.4383,-26.2474,2025/26 empirical-Bayes rate and minutes,False,False,False
120,Noah Okafor,MID,99.0018,15.8403,336,435997,Leeds,a,,2025-26,109.0000,1553.0000,1602.0000,15.5407,0.8628,3.1667,125.4383,-26.4365,2025/26 empirical-Bayes rate and minutes,False,False,False
121,Calvin Bassey,DEF,98.7086,15.7934,257,232892,Fulham,a,,2025-26,103.0000,2532.0000,2418.2000,15.4037,1.0000,3.3333,115.0131,-16.3045,2025/26 empirical-Bayes rate and minutes,False,False,False
122,Riccardo Calafiori,DEF,98.4553,15.7528,8,466075,Arsenal,a,,2025-26,109.0000,1697.0000,1750.2000,15.5456,0.9428,3.0000,115.0131,-16.5578,2025/26 empirical-Bayes rate and minutes,False,False,False
123,Nick Pope,GK,98.2813,15.7250,442,98747,Newcastle,a,,2025-26,96.0000,2416.0000,2504.3000,15.6086,1.0000,2.8333,119.5420,-21.2607,2025/26 empirical-Bayes rate and minutes,False,False,False
124,Ezri Konsa Ngoyo,DEF,98.2665,15.7226,31,199798,Aston Villa,a,,2025-26,100.0000,3035.0000,2820.6000,15.5158,1.0000,3.0000,115.0131,-16.7466,2025/26 empirical-Bayes rate and minutes,False,False,False
125,Lewis Dunk,DEF,97.6622,15.6259,116,83299,Brighton,a,,2025-26,100.0000,2837.0000,2662.2000,15.4203,1.0000,3.0000,115.0131,-17.3509,2025/26 empirical-Bayes rate and minutes,False,False,False
126,Thierno Barry,FWD,96.6049,15.4568,249,586309,Everton,a,,2025-26,95.0000,1898.0000,1887.7000,15.3424,1.0000,2.8333,102.1080,-5.5031,2025/26 empirical-Bayes rate and minutes,False,False,False
127,Mathias Jensen,MID,96.3321,15.4131,97,207283,Brentford,a,,2025-26,98.0000,2239.0000,2150.8000,15.1216,1.0000,3.1667,125.4383,-29.1062,2025/26 empirical-Bayes rate and minutes,False,False,False
128,Emiliano Buendía Stati,MID,96.0317,15.3651,41,195546,Aston Villa,a,,2025-26,102.0000,1753.0000,1762.0000,15.1629,0.9739,3.0000,125.4383,-29.4066,2025/26 empirical-Bayes rate and minutes,False,False,False
129,Diego Gómez Amarilla,MID,94.9988,15.1998,127,514254,Brighton,a,,2025-26,97.0000,2117.0000,2053.2000,14.9998,1.0000,3.0000,125.4383,-30.4395,2025/26 empirical-Bayes rate and minutes,False,False,False
130,Brian Brobbey,FWD,94.7180,15.1549,552,441264,Sunderland,a,,2025-26,92.0000,1920.0000,1905.3000,14.9555,1.0000,3.0000,102.1080,-7.3900,2025/26 empirical-Bayes rate and minutes,False,False,False
131,Jayden Bogle,DEF,94.6801,15.1488,330,226182,Leeds,a,,2025-26,96.0000,2795.0000,2628.6000,14.8623,1.0000,3.1667,115.0131,-20.3330,2025/26 empirical-Bayes rate and minutes,False,False,False
132,Yasin Ayari,MID,94.5125,15.1220,129,509416,Brighton,a,,2025-26,98.0000,1921.0000,1896.4000,14.9230,1.0000,3.0000,125.4383,-30.9258,2025/26 empirical-Bayes rate and minutes,False,False,False
133,Vitalii Mykolenko,DEF,94.4661,15.1146,233,224967,Everton,a,,2025-26,95.0000,2959.0000,2759.8000,15.0027,1.0000,2.8333,115.0131,-20.5470,2025/26 empirical-Bayes rate and minutes,False,False,False
134,Alisson Becker,GK,94.3738,15.0998,350,116535,Liverpool,a,,2025-26,91.0000,2340.0000,2443.5000,14.9880,1.0000,2.8333,119.5420,-25.1682,2025/26 empirical-Bayes rate and minutes,False,False,False
135,Guglielmo Vicario,GK,94.3135,15.0902,494,184254,Spurs,a,,2025-26,90.0000,2790.0000,2803.5000,14.8916,1.0000,3.0000,119.5420,-25.2285,2025/26 empirical-Bayes rate and minutes,False,False,False
136,Sander Berge,MID,94.2172,15.0748,265,207189,Fulham,a,,2025-26,91.0000,2904.0000,2682.8000,14.7028,1.0000,3.3333,125.4383,-31.2211,2025/26 empirical-Bayes rate and minutes,False,False,False
137,Álvaro Rodríguez,FWD,93.1032,31.6551,81,561245,Bournemouth,a,,,,,1738.7875,14.3575,0.0000,3.6667,102.1080,-9.0048,position and official-cost prior; manual review,False,True,True
138,Gonzalo García,FWD,93.1032,31.6551,569,551466,Fulham,a,,,,,1738.7875,14.5290,0.0000,3.3333,102.1080,-9.0048,position and official-cost prior; manual review,False,True,True
139,Jaka Bijol,DEF,92.8914,14.8626,327,434752,Leeds,a,,2025-26,99.0000,1888.0000,1903.0000,14.5815,1.0000,3.1667,115.0131,-22.1217,2025/26 empirical-Bayes rate and minutes,False,False,False
140,Malo Gusto,DEF,92.6617,14.8259,144,482609,Chelsea,a,,2025-26,96.0000,2255.0000,2196.6000,14.6308,1.0000,3.0000,115.0131,-22.3514,2025/26 empirical-Bayes rate and minutes,False,False,False
141,Amad Diallo,MID,92.0094,14.7215,431,493250,Man Utd,a,,2025-26,91.0000,2339.0000,2230.8000,14.6125,1.0000,2.8333,125.4383,-33.4289,2025/26 empirical-Bayes rate and minutes,False,False,False
142,Lucas Digne,DEF,91.2621,14.6019,30,101188,Aston Villa,a,,2025-26,97.0000,1842.0000,1866.2000,14.4098,1.0000,3.0000,115.0131,-23.7510,2025/26 empirical-Bayes rate and minutes,False,False,False
143,Georginio Rutter,FWD,90.4351,14.4696,125,463067,Brighton,a,,2025-26,87.0000,1776.0000,1790.1000,14.2792,0.9867,3.0000,102.1080,-11.6729,2025/26 empirical-Bayes rate and minutes,False,False,False
144,Dan Burn,DEF,90.3113,14.4498,448,78916,Newcastle,a,,2025-26,93.0000,2195.0000,2148.6000,14.3429,1.0000,2.8333,115.0131,-24.7018,2025/26 empirical-Bayes rate and minutes,False,False,False
145,Junior Kroupi,MID,90.2838,25.2795,78,560262,Bournemouth,i,Foot injury - Unknown return date,2025-26,113.0000,1663.0000,1690.0000,11.0749,0.6467,3.6667,125.4383,-35.1545,2025/26 empirical-Bayes rate and minutes,False,False,True
146,Ben Wilson,GK,89.8971,39.5547,172,110690,Coventry City,a,,,,,2370.1119,14.1115,0.0000,3.1667,119.5420,-29.6450,position and official-cost prior; manual review,True,True,True
147,Kayne van Oevelen,GK,89.8971,39.5547,554,546600,Ipswich Town,a,,,,,2370.1119,14.1943,0.0000,3.0000,119.5420,-29.6450,position and official-cost prior; manual review,True,True,True
148,Ewen Jaouen,GK,89.8971,30.5650,444,554578,Newcastle,a,,,,,2370.1119,14.2771,0.0000,2.8333,119.5420,-29.6450,position and official-cost prior; manual review,False,True,True
149,Ryan Sessegnon,DEF,89.7499,14.3600,269,184349,Fulham,a,,2025-26,95.0000,1816.0000,1845.4000,14.0057,1.0000,3.3333,115.0131,-25.2632,2025/26 empirical-Bayes rate and minutes,False,False,False
150,Mats Wieffer,DEF,89.5500,14.3280,130,467779,Brighton,a,,2025-26,94.0000,1901.0000,1913.4000,14.1395,1.0000,3.0000,115.0131,-25.4631,2025/26 empirical-Bayes rate and minutes,False,False,False
151,James Justin,DEF,89.5061,14.3210,332,220627,Leeds,a,,2025-26,94.0000,1893.0000,1907.0000,14.0501,1.0000,3.1667,115.0131,-25.5070,2025/26 empirical-Bayes rate and minutes,False,False,False
152,Ibrahim Sangaré,MID,89.3218,14.2915,488,210462,Nott'm Forest,a,,2025-26,89.0000,2073.0000,2018.0000,14.1034,1.0000,3.0000,125.4383,-36.1165,2025/26 empirical-Bayes rate and minutes,False,False,False
153,Patrick Dorgu,MID,88.8825,14.2212,415,596777,Man Utd,a,,2025-26,95.0000,1440.0000,1511.6000,14.1159,0.8000,2.8333,125.4383,-36.5558,2025/26 empirical-Bayes rate and minutes,False,False,False
154,Jack Hinshelwood,MID,88.6090,14.1774,123,532529,Brighton,a,,2025-26,91.0000,1736.0000,1748.4000,13.9909,0.9644,3.0000,125.4383,-36.8293,2025/26 empirical-Bayes rate and minutes,False,False,False
155,Tijjani Reijnders,MID,88.4481,14.1517,404,433036,Man City,a,,2025-26,92.0000,1623.0000,1658.0000,13.9655,0.9017,3.0000,125.4383,-36.9902,2025/26 empirical-Bayes rate and minutes,False,False,False
156,Victor Munoz,MID,88.2430,30.0026,377,551499,Liverpool,a,,,,,1864.6127,14.0144,0.0000,2.8333,125.4383,-37.1953,position and official-cost prior; manual review,False,True,True
157,Cristian Romero,DEF,87.3276,13.9724,500,221632,Spurs,a,,2025-26,91.0000,1869.0000,1887.8000,13.7886,1.0000,3.0000,115.0131,-27.6855,2025/26 empirical-Bayes rate and minutes,False,False,False
158,Noah Sadiki,MID,86.4195,13.8271,545,577669,Sunderland,a,,2025-26,80.0000,2891.0000,2672.4000,13.6452,1.0000,3.0000,125.4383,-39.0188,2025/26 empirical-Bayes rate and minutes,False,False,False
159,Rodrigo Bentancur,MID,86.2033,13.7925,516,202993,Spurs,a,,2025-26,86.0000,1880.0000,1863.6000,13.6110,1.0000,3.0000,125.4383,-39.2350,2025/26 empirical-Bayes rate and minutes,False,False,False
160,Sandro Tonali,MID,85.9030,13.7445,455,432422,Spurs,a,,2025-26,81.0000,2534.0000,2386.8000,13.5636,1.0000,3.0000,125.4383,-39.5353,2025/26 empirical-Bayes rate and minutes,False,False,False
161,Sven Botman,DEF,85.7732,13.7237,447,220237,Newcastle,a,,2025-26,89.0000,1834.0000,1859.8000,13.6221,1.0000,2.8333,115.0131,-29.2399,2025/26 empirical-Bayes rate and minutes,False,False,False
162,Harry Maguire,DEF,85.3489,13.6558,418,95658,Man Utd,a,,2025-26,90.0000,1649.0000,1711.8000,13.5548,0.9161,2.8333,115.0131,-29.6642,2025/26 empirical-Bayes rate and minutes,False,False,False
163,Jørgen Strand Larsen,FWD,85.0556,13.6089,222,247412,Crystal Palace,a,,2025-26,75.0000,2301.0000,2210.1000,13.4298,1.0000,3.0000,102.1080,-17.0523,2025/26 empirical-Bayes rate and minutes,False,False,False
164,Milos Kerkez,DEF,84.9871,13.5979,358,544877,Liverpool,a,,2025-26,85.0000,2251.0000,2193.4000,13.4973,1.0000,2.8333,115.0131,-30.0260,2025/26 empirical-Bayes rate and minutes,False,False,False
165,Piero Hincapié,DEF,84.1528,13.4644,9,448104,Arsenal,a,,2025-26,87.0000,1787.0000,1822.2000,13.2873,0.9928,3.0000,115.0131,-30.8603,2025/26 empirical-Bayes rate and minutes,False,False,False
