name,position,projected_points,uncertainty,player_id,code,team_name,status,prior_total_points,prior_minutes,fixture_difficulty_next6,projection_method
David Brooks,MID,62.099,9.315,74,111317,Bournemouth,a,59.000,1188.000,3.667,prior-season points with positional shrinkage
Noussair Mazraoui,DEF,61.809,9.271,422,230001,Man Utd,a,53.000,977.000,2.833,prior-season points with positional shrinkage
Kosta Nedeljkovic,DEF,61.750,24.700,39,578545,Aston Villa,a,,,3.000,position prior for new player
Michael Svoboda,DEF,61.750,24.700,120,454490,Brighton,a,,,3.000,position prior for new player
Oscar Mingueza,DEF,61.750,24.700,207,242313,Crystal Palace,a,,,3.000,position prior for new player
Tyler Bindon,DEF,61.750,24.700,479,538638,Nott'm Forest,a,,,3.000,position prior for new player
Dara O'Shea,DEF,61.750,24.700,304,216616,Ipswich Town,a,,,3.000,position prior for new player
Marco Palestra,DEF,61.750,24.700,152,620109,Chelsea,a,,,3.000,position prior for new player
João Pedro Loureiro da Costa,DEF,61.750,24.700,119,451490,Brighton,a,,,3.000,position prior for new player
Leif Davis,DEF,61.750,24.700,305,455084,Ipswich Town,a,,,3.000,position prior for new player
Thomas Meunier,DEF,61.750,24.700,541,93605,Sunderland,a,,,3.000,position prior for new player
Jacob Greaves,DEF,61.750,24.700,306,449429,Ipswich Town,a,,,3.000,position prior for new player
Darnell Furlong,DEF,61.750,24.700,308,176420,Ipswich Town,a,,,3.000,position prior for new player
Ben Johnson,DEF,61.750,24.700,307,222018,Ipswich Town,a,,,3.000,position prior for new player
Cédric Kipré,DEF,61.750,24.700,303,183015,Ipswich Town,a,,,3.000,position prior for new player
Boubacar Kamara,MID,61.476,14.139,47,226944,Aston Villa,d,61.000,1410.000,3.000,prior-season points with positional shrinkage
Alejandro Garnacho Ferreyra,MID,61.400,9.210,160,493105,Aston Villa,a,56.000,1261.000,3.000,prior-season points with positional shrinkage
Felipe Rodrigues da Silva,DEF,61.400,9.210,470,485047,Nott'm Forest,a,53.000,1340.000,3.000,prior-season points with positional shrinkage
Carlos Baleba,MID,61.400,9.210,131,535301,Brighton,a,56.000,1646.000,3.000,prior-season points with positional shrinkage
Ross Barkley,MID,61.400,15.350,46,88894,Aston Villa,a,56.000,844.000,3.000,prior-season points with positional shrinkage
Miguel Brau,DEF,61.338,24.535,181,577411,Coventry City,a,,,3.167,position prior for new player
Bobby Thomas,DEF,61.338,24.535,173,461102,Coventry City,a,,,3.167,position prior for new player
Semi Ajayi,DEF,61.338,24.535,279,146426,Hull City,a,,,3.167,position prior for new player
Paddy McNair,DEF,61.338,24.535,285,160817,Hull City,a,,,3.167,position prior for new player
Tarik Muharemović,DEF,61.338,24.535,334,522047,Leeds,a,,,3.167,position prior for new player
Jannik Schuster,DEF,61.338,24.535,93,513086,Brentford,a,,,3.167,position prior for new player
Kaine Kesler-Hayden,DEF,61.338,24.535,177,465390,Coventry City,a,,,3.167,position prior for new player
Jay Dasilva,DEF,61.338,24.535,176,173878,Coventry City,a,,,3.167,position prior for new player
Liam Kitching,DEF,61.338,24.535,174,436761,Coventry City,a,,,3.167,position prior for new player
Joel Latibeaudiere,DEF,61.338,24.535,179,204813,Coventry City,a,,,3.167,position prior for new player
Jake Bidwell,DEF,61.338,24.535,178,80178,Coventry City,a,,,3.167,position prior for new player
Luke Woolfenden,DEF,61.338,24.535,180,220583,Coventry City,a,,,3.167,position prior for new player
Milan van Ewijk,DEF,61.338,24.535,175,451284,Coventry City,a,,,3.167,position prior for new player
John Egan,DEF,61.338,24.535,277,108416,Hull City,a,,,3.167,position prior for new player
Cody Drameh,DEF,61.338,24.535,281,433590,Hull City,a,,,3.167,position prior for new player
